No.	RunId	SampleId	ExperimentId	StudyId	Country	LineageByKvarQ	FastqR1	FastqR2	ResToAMK	ResToBDQ	ResToCFZ	ResToCPM	ResToCS	ResToDLM	ResToEMB	ResToETA	ResToINH	ResToKM	ResToLEV	ResToLZD	ResToMOX	ResToOFX	ResToPAS	ResToPNB	ResToPTH	ResToPZA	ResToRBT	ResToRIF	ResToSM
1	ERR13191048	ERS16430416	ERX12562190	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/048/ERR13191048/ERR13191048_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/048/ERR13191048/ERR13191048_2.fastq.gz	False	NA	NA	False	False	NA	False	NA	False	False	False	NA	False	False	False	NA	False	False	False	False	False
2	ERR13191049	ERS16430417	ERX12562191	ERP151439	Korea	L4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/049/ERR13191049/ERR13191049_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/049/ERR13191049/ERR13191049_2.fastq.gz	False	NA	NA	False	False	NA	False	NA	False	False	False	NA	False	False	False	NA	False	False	False	False	False
3	ERR13191050	ERS16430418	ERX12562192	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/050/ERR13191050/ERR13191050_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/050/ERR13191050/ERR13191050_2.fastq.gz	False	NA	NA	False	False	NA	True	NA	False	False	True	NA	True	True	False	NA	False	False	True	True	False
4	ERR13191053	ERS16430419	ERX12562195	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/053/ERR13191053/ERR13191053_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/053/ERR13191053/ERR13191053_2.fastq.gz	False	NA	NA	False	False	NA	False	NA	True	False	False	NA	False	False	False	NA	False	True	False	True	True
5	ERR13191054	ERS16430420	ERX12562196	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/054/ERR13191054/ERR13191054_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/054/ERR13191054/ERR13191054_2.fastq.gz	False	NA	NA	False	False	NA	False	NA	True	False	False	NA	False	False	False	NA	False	False	True	True	False
6	ERR13191055	ERS16430421	ERX12562197	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/055/ERR13191055/ERR13191055_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/055/ERR13191055/ERR13191055_2.fastq.gz	False	NA	NA	False	False	NA	False	NA	True	False	False	NA	False	False	False	NA	False	True	True	True	False
7	ERR13191056	ERS16430422	ERX12562198	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/056/ERR13191056/ERR13191056_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/056/ERR13191056/ERR13191056_2.fastq.gz	False	NA	NA	False	False	NA	True	NA	True	False	False	NA	False	False	False	NA	False	False	True	True	False
8	ERR13191057	ERS16430423	ERX12562199	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/057/ERR13191057/ERR13191057_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/057/ERR13191057/ERR13191057_2.fastq.gz	False	NA	NA	False	False	NA	True	NA	True	False	False	NA	False	False	False	NA	False	False	False	True	True
9	ERR13191058	ERS16430424	ERX12562200	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/058/ERR13191058/ERR13191058_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/058/ERR13191058/ERR13191058_2.fastq.gz	False	NA	NA	False	False	NA	False	NA	False	False	False	NA	False	False	False	NA	False	False	False	False	False
10	ERR13191059	ERS16430425	ERX12562201	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/059/ERR13191059/ERR13191059_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/059/ERR13191059/ERR13191059_2.fastq.gz	False	NA	NA	False	False	NA	True	NA	True	False	False	NA	False	False	False	NA	False	True	True	True	False
11	ERR13191060	ERS16430426	ERX12562202	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/060/ERR13191060/ERR13191060_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/060/ERR13191060/ERR13191060_2.fastq.gz	False	NA	NA	False	False	NA	False	NA	True	False	False	NA	False	False	False	False	False	False	True	True	False
12	ERR13191062	ERS16430427	ERX12562204	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/062/ERR13191062/ERR13191062_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/062/ERR13191062/ERR13191062_2.fastq.gz	False	NA	NA	False	False	NA	True	NA	False	False	False	NA	False	False	False	NA	False	False	False	True	True
13	ERR13191063	ERS16430428	ERX12562205	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/063/ERR13191063/ERR13191063_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/063/ERR13191063/ERR13191063_2.fastq.gz	False	NA	NA	False	False	NA	True	NA	False	False	False	NA	False	False	False	False	False	False	False	True	True
14	ERR13191064	ERS16430429	ERX12562206	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/064/ERR13191064/ERR13191064_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/064/ERR13191064/ERR13191064_2.fastq.gz	True	True	NA	True	False	False	True	NA	False	True	False	False	False	False	False	NA	False	False	False	True	True
15	ERR13191065	ERS16430430	ERX12562207	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/065/ERR13191065/ERR13191065_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/065/ERR13191065/ERR13191065_2.fastq.gz	False	NA	NA	False	False	NA	True	NA	False	False	False	NA	False	False	False	False	False	False	False	True	True
16	ERR13191066	ERS16430431	ERX12562208	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/066/ERR13191066/ERR13191066_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/066/ERR13191066/ERR13191066_2.fastq.gz	False	NA	NA	False	False	NA	True	NA	False	False	True	NA	True	True	False	False	False	False	False	True	True
17	ERR13191067	ERS16430432	ERX12562209	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/067/ERR13191067/ERR13191067_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/067/ERR13191067/ERR13191067_2.fastq.gz	True	NA	NA	True	False	NA	False	NA	False	True	False	NA	False	False	False	NA	False	False	True	True	True
18	ERR13191068	ERS16430433	ERX12562210	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/068/ERR13191068/ERR13191068_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/068/ERR13191068/ERR13191068_2.fastq.gz	True	False	NA	True	False	True	True	NA	NA	True	False	False	False	False	False	NA	False	False	True	True	True
19	ERR13191069	ERS16430434	ERX12562211	ERP151439	Korea	L2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/069/ERR13191069/ERR13191069_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR131/069/ERR13191069/ERR13191069_2.fastq.gz	False	NA	NA	False	False	NA	True	NA	False	False	False	NA	False	False	False	False	False	True	True	True	False
