contig,len,hit_count,have_result,best_hit_def,best_hit_accession,best_hit_bitscore,best_hit_length,best_hit_pident,is_contam
k141_50398,806,50.0,73.8213399503722,"Pseudonocardia broussonetiae strain Gen 01 chromosome, complete genome",CP053564,228.511,531.0,70.24482109227871,False
k141_50402,366,49.0,93.71584699453553,"Cutibacterium acnes SZ2 DNA, complete genome",AP022845,609.923,340.0,99.70588235294116,False
k141_80638,376,50.0,73.93617021276596,"Roseomonas gilardii strain U14-5 chromosome 1, complete sequence",CP015583,466.555,258.0,100.0,False
k141_20163,851,50.0,96.3572267920094,"Corynebacterium minutissimum strain FDAARGOS_1196 chromosome, complete genome",CP069533,1449.39,818.0,99.26650366748166,True
k141_50406,312,50.0,62.5,"Lotus japonicus B-129 DNA, chromosome 6, complete sequence",AP022634,67.1093,79.0,78.48101265822785,False
k141_100797,1068,48.0,94.9438202247191,"Mycobacterium avium subsp. hominissuis JP-H-1 plasmid: p1-JPH1, complete sequence",AP020327,799.277,1023.0,77.90811339198436,False
k141_40327,1020,50.0,95.09803921568628,"Pseudomonas psychrotolerans strain YY7 chromosome, complete genome",CP102428,1723.5,970.0,99.38144329896907,True
k141_16,317,24.0,100.0,"Homo sapiens BAC clone RP11-1367O10 from 2, complete sequence",AC113618,401.634,222.0,100.0,False
k141_50411,1110,50.0,100.0,"Microbacterium foliorum strain M2 chromosome, complete genome",CP041040,1933.6,1079.0,99.72196478220576,True
k141_50414,487,50.0,95.48254620123204,"Corynebacterium minutissimum strain FDAARGOS_1196 chromosome, complete genome",CP069533,735.257,462.0,95.23809523809524,True
k141_80648,448,50.0,100.0,"Ralstonia pickettii strain FDAARGOS_1535 chromosome 1, complete sequence",CP084359,758.701,420.0,100.0,True
k141_100803,349,18.0,100.0,"Mycobacterium simiae JCM 12377 DNA, complete genome",AP022568,444.013,290.0,94.13793103448276,False
k141_60490,400,49.0,91.75,"Mycobacterium simiae JCM 12377 DNA, complete genome",AP022568,603.611,364.0,96.7032967032967,False
k141_100808,471,50.0,87.47346072186836,"Mycobacterium simiae JCM 12377 DNA, complete genome",AP022568,717.224,412.0,98.54368932038837,False
k141_100812,484,32.0,99.58677685950413,"Mycobacterium sp. PYR15 chromosome, complete genome",CP023435,240.233,424.0,72.87735849056604,False
k141_50423,451,49.0,90.68736141906874,"Cutibacterium acnes SZ2 DNA, complete genome",AP022845,734.356,409.0,99.75550122249388,False
k141_70576,733,49.0,94.95225102319236,"Microbacterium foliorum strain M2 chromosome, complete genome",CP041040,1184.3,696.0,97.70114942528735,True
k141_100817,380,50.0,100.0,"Corynebacterium minutissimum strain NCTC10285 genome assembly, chromosome: 1",LR134339,508.935,319.0,95.29780564263324,True
k141_100818,462,49.0,100.0,"Cutibacterium acnes SZ2 DNA, complete genome",AP022845,778.538,431.0,100.0,False
k141_60496,540,50.0,93.51851851851852,"Moraxella osloensis strain TT16 chromosome, complete genome",CP024185,835.344,505.0,96.63366336633663,True
k141_20184,358,49.0,92.73743016759776,"Cutibacterium acnes SZ2 DNA, complete genome",AP022845,600.005,332.0,100.0,False
k141_10091,2461,50.0,75.41649735879723,Bacterium BFN5 strain BFN5 chromosome,CP053389,717.224,1744.0,69.66743119266054,False
k141_100822,479,50.0,87.68267223382045,"Moraxella osloensis strain KSH chromosome, complete genome",CP024180,691.075,420.0,96.42857142857144,True
k141_50434,459,36.0,98.47494553376906,"Staphylococcus pasteuri strain JS7 chromosome, complete genome",CP017463,664.926,373.0,99.46380697050938,True
k141_10094,312,41.0,53.20512820512821,"Ralstonia solanacearum genome assembly 9 genomes, chromosome : IX",LN899827,84.2413,86.0,83.72093023255815,True
k141_50437,439,50.0,94.76082004555808,"Pseudomonas psychrotolerans strain YY7 chromosome, complete genome",CP102428,719.027,413.0,98.54721549636804,True
k141_60502,483,48.0,92.7536231884058,"Mycobacterium simiae JCM 12377 DNA, complete genome",AP022568,750.586,448.0,97.09821428571428,False
k141_20193,683,48.0,99.85358711566616,"Capnocytophaga gingivalis strain H1496 chromosome, complete genome",CP022386,1037.32,602.0,98.17275747508306,False
k141_60505,343,50.0,89.79591836734694,"Schaalia odontolytica strain XH001 chromosome, complete genome",CP040006,370.075,307.0,86.64495114006515,False
k141_100834,764,50.0,100.0,"Moraxella osloensis strain KSH chromosome, complete genome",CP024180,1199.62,707.0,97.5954738330976,True
k141_50443,362,49.0,100.0,"Propionibacterium acnes TypeIA2 P.acn33, complete genome",CP003195,602.71,336.0,99.70238095238096,True
